Cidade,Data,Total de casos,Total de mortos,Casos no dia,Mortes no dia
Ribeirão Preto,2020-03-26,1,1,1,1
Ribeirão Preto,2020-03-27,3,1,2,0
Ribeirão Preto,2020-03-28,3,1,0,0
Ribeirão Preto,2020-03-29,3,1,0,0
Ribeirão Preto,2020-03-30,5,1,2,0
Ribeirão Preto,2020-03-31,6,1,1,0
Ribeirão Preto,2020-04-01,8,1,2,0
Ribeirão Preto,2020-04-02,11,1,3,0
Ribeirão Preto,2020-04-03,15,1,4,0
Ribeirão Preto,2020-04-04,24,1,9,0
Ribeirão Preto,2020-04-05,25,1,1,0
Ribeirão Preto,2020-04-06,28,1,3,0
Ribeirão Preto,2020-04-07,29,2,1,1
Ribeirão Preto,2020-04-08,36,3,7,1
Ribeirão Preto,2020-04-09,36,4,0,1
Ribeirão Preto,2020-04-10,36,4,0,0
Ribeirão Preto,2020-04-11,36,4,0,0
Ribeirão Preto,2020-04-12,43,4,7,0
Ribeirão Preto,2020-04-13,44,4,1,0
Ribeirão Preto,2020-04-14,53,4,9,0
Ribeirão Preto,2020-04-15,65,5,12,1
Ribeirão Preto,2020-04-16,68,5,3,0
Ribeirão Preto,2020-04-17,72,5,4,0
Ribeirão Preto,2020-04-18,76,5,4,0
Ribeirão Preto,2020-04-19,80,5,4,0
Ribeirão Preto,2020-04-20,81,5,1,0
Ribeirão Preto,2020-04-21,84,5,3,0
Ribeirão Preto,2020-04-22,86,5,2,0
Ribeirão Preto,2020-04-23,88,5,2,0
Ribeirão Preto,2020-04-24,92,5,4,0
Ribeirão Preto,2020-04-25,95,5,3,0
Ribeirão Preto,2020-04-26,95,5,0,0
Ribeirão Preto,2020-04-27,99,6,4,1
Ribeirão Preto,2020-04-28,110,7,11,1
Ribeirão Preto,2020-04-29,111,8,1,1
Ribeirão Preto,2020-04-30,113,8,2,0
Ribeirão Preto,2020-05-01,118,8,5,0
Ribeirão Preto,2020-05-02,136,8,18,0
Ribeirão Preto,2020-05-03,138,8,2,0
Ribeirão Preto,2020-05-04,150,8,12,0
Ribeirão Preto,2020-05-05,150,8,0,0
Ribeirão Preto,2020-05-06,165,8,15,0
Ribeirão Preto,2020-05-07,270,8,105,0
Ribeirão Preto,2020-05-08,295,8,25,0
Ribeirão Preto,2020-05-09,304,8,9,0
Ribeirão Preto,2020-05-10,306,9,2,1
Ribeirão Preto,2020-05-11,308,9,2,0
Ribeirão Preto,2020-05-12,313,10,5,1
Ribeirão Preto,2020-05-13,333,11,20,1
Ribeirão Preto,2020-05-14,377,12,44,1
Ribeirão Preto,2020-05-15,404,13,27,1
Ribeirão Preto,2020-05-16,436,13,32,0
Ribeirão Preto,2020-05-17,450,13,14,0
Ribeirão Preto,2020-05-18,451,13,1,0
Ribeirão Preto,2020-05-19,476,15,25,2
Ribeirão Preto,2020-05-20,512,15,36,0
Ribeirão Preto,2020-05-21,575,17,63,2
Ribeirão Preto,2020-05-22,612,17,37,0
Ribeirão Preto,2020-05-23,627,17,15,0
Ribeirão Preto,2020-05-24,629,17,2,0
Ribeirão Preto,2020-05-25,630,17,1,0
Ribeirão Preto,2020-05-26,652,20,22,3
Ribeirão Preto,2020-05-27,726,22,74,2
Ribeirão Preto,2020-05-28,777,25,51,3
Ribeirão Preto,2020-05-30,896,24,25,0
Ribeirão Preto,2020-05-31,943,24,47,0
Ribeirão Preto,2020-06-01,949,25,6,1
Ribeirão Preto,2020-06-02,987,28,38,3
Ribeirão Preto,2020-06-03,1119,28,132,0
Ribeirão Preto,2020-06-04,1159,29,40,1
Ribeirão Preto,2020-06-05,1275,33,116,4
Ribeirão Preto,2020-06-06,1332,39,57,6
Ribeirão Preto,2020-06-07,1443,40,111,1
Ribeirão Preto,2020-06-08,1450,40,7,0
Ribeirão Preto,2020-06-09,1549,45,99,5
Ribeirão Preto,2020-06-10,1681,52,132,7
Ribeirão Preto,2020-06-11,1764,54,83,2
Ribeirão Preto,2020-06-12,1813,57,49,3
Ribeirão Preto,2020-06-13,1880,58,67,1
Ribeirão Preto,2020-06-14,1973,62,93,4
Ribeirão Preto,2020-06-15,1978,64,5,2
Ribeirão Preto,2020-06-16,2035,75,57,11
Ribeirão Preto,2020-06-17,2058,82,23,7
Ribeirão Preto,2020-06-18,2087,89,29,7
Ribeirão Preto,2020-06-19,2435,91,348,2
Ribeirão Preto,2020-06-20,2610,95,175,4
Ribeirão Preto,2020-06-21,2708,95,98,0
Ribeirão Preto,2020-06-22,2728,98,20,3
Ribeirão Preto,2020-06-23,2862,112,134,14
Ribeirão Preto,2020-06-24,3071,120,209,8
Ribeirão Preto,2020-06-25,3198,126,127,6
Ribeirão Preto,2020-06-26,3487,134,289,8
Ribeirão Preto,2020-06-27,3686,140,199,6
Ribeirão Preto,2020-06-28,3818,140,132,0
Ribeirão Preto,2020-06-29,3896,144,78,4
Ribeirão Preto,2020-06-30,3957,156,61,12
Ribeirão Preto,2020-07-01,4148,161,191,5
Ribeirão Preto,2020-07-02,4368,167,220,6
Ribeirão Preto,2020-07-03,4744,177,376,10
Ribeirão Preto,2020-07-04,4907,183,163,6
Ribeirão Preto,2020-07-05,5056,186,149,3
Ribeirão Preto,2020-07-06,5071,186,15,0
Ribeirão Preto,2020-07-07,5462,196,391,10
Ribeirão Preto,2020-07-08,5706,208,244,12
Ribeirão Preto,2020-07-09,5967,215,261,7
Ribeirão Preto,2020-07-10,6454,217,487,2
Ribeirão Preto,2020-07-11,6701,226,247,9
Ribeirão Preto,2020-07-12,6775,232,74,6
Ribeirão Preto,2020-07-13,6820,233,45,1
Ribeirão Preto,2020-07-14,7039,249,219,16
Ribeirão Preto,2020-07-15,7310,252,271,3
Ribeirão Preto,2020-07-16,7546,260,236,8
Ribeirão Preto,2020-07-17,7680,271,134,11
Ribeirão Preto,2020-07-18,7728,277,48,6
Ribeirão Preto,2020-07-19,7765,279,37,2
Ribeirão Preto,2020-07-20,7773,279,8,0
Ribeirão Preto,2020-07-21,7880,289,107,10
Ribeirão Preto,2020-07-22,8347,302,467,13
Ribeirão Preto,2020-07-23,8591,307,244,5
Ribeirão Preto,2020-07-24,9085,317,494,10
Ribeirão Preto,2020-07-25,9402,332,317,15
Ribeirão Preto,2020-07-26,9559,334,157,2
Ribeirão Preto,2020-07-27,9585,335,26,1
Ribeirão Preto,2020-07-28,10011,345,426,10
Ribeirão Preto,2020-07-29,10338,354,327,9
Ribeirão Preto,2020-07-30,10634,362,296,8
Ribeirão Preto,2020-07-31,10914,368,280,6
Ribeirão Preto,2020-08-01,11140,377,226,9
Ribeirão Preto,2020-08-02,11317,383,177,6
Ribeirão Preto,2020-08-03,11328,383,11,0
Ribeirão Preto,2020-08-04,11604,399,276,16
Ribeirão Preto,2020-08-05,11892,413,288,14
Ribeirão Preto,2020-08-06,12203,424,311,11
Ribeirão Preto,2020-08-07,12452,431,249,7
Ribeirão Preto,2020-08-08,12724,435,272,4
Ribeirão Preto,2020-08-09,12933,438,209,3
Ribeirão Preto,2020-08-10,12940,438,7,0
Ribeirão Preto,2020-08-11,13292,451,352,13
Ribeirão Preto,2020-08-12,13492,460,200,9
Ribeirão Preto,2020-08-13,13918,465,426,5
Ribeirão Preto,2020-08-14,14238,471,320,6
Ribeirão Preto,2020-08-15,14450,477,212,6
Ribeirão Preto,2020-08-16,14580,477,130,0
Ribeirão Preto,2020-08-17,14589,477,9,0
Ribeirão Preto,2020-08-18,14871,501,282,24
Ribeirão Preto,2020-08-19,15279,509,408,8
Ribeirão Preto,2020-08-20,15530,517,251,8
Ribeirão Preto,2020-08-21,15595,522,65,5
Ribeirão Preto,2020-08-22,15722,528,127,6
Ribeirão Preto,2020-08-23,15807,531,85,3
Ribeirão Preto,2020-08-24,15819,532,12,1
Ribeirão Preto,2020-08-25,16051,542,232,10
Ribeirão Preto,2020-08-26,16351,547,300,5
Ribeirão Preto,2020-08-27,16432,550,81,3
Ribeirão Preto,2020-08-28,16934,559,502,9
Ribeirão Preto,2020-08-29,16934,559,0,0
Ribeirão Preto,2020-08-30,17373,562,439,3
Ribeirão Preto,2020-08-31,17380,562,7,0
Ribeirão Preto,2020-09-01,17686,578,306,16
Ribeirão Preto,2020-09-02,17971,593,285,15
Ribeirão Preto,2020-09-03,18146,596,175,3
Ribeirão Preto,2020-09-04,18392,598,246,2
Ribeirão Preto,2020-09-05,18547,608,155,10
Ribeirão Preto,2020-09-06,18633,609,86,1
Ribeirão Preto,2020-09-07,18633,609,0,0
Ribeirão Preto,2020-09-08,18646,610,13,1
Ribeirão Preto,2020-09-09,18969,622,323,12
Ribeirão Preto,2020-09-10,19168,630,199,8
Ribeirão Preto,2020-09-11,19474,637,306,7
Ribeirão Preto,2020-09-12,19572,648,98,11
Ribeirão Preto,2020-09-13,19703,651,131,3
Ribeirão Preto,2020-09-14,19707,651,4,0
Ribeirão Preto,2020-09-15,19798,665,91,14
Ribeirão Preto,2020-09-16,19944,670,146,5
Ribeirão Preto,2020-09-17,20169,675,225,5
